"名称","年份","单位","论文","项目页","GitHub","License","最近更新/开放状态（截至2026-08-06）","核心方法","是否真实机器人","是否有视觉闭环","是否有 Skill","是否有 Retry/Replan","是否有 Memory","是否支持新机器人","与我们的重合度","可复用等级","威胁等级","Touch R1适配难度","开放内容与备注"
"Code as Policies (CaP)","2022","Google Research / Everyday Robots","https://arxiv.org/abs/2209.07753","https://code-as-policies.github.io/","https://github.com/google-research/google-research/tree/master/code_as_policies","Apache-2.0（Google Research根仓库）","monorepo 2026-08仍活跃；CaP子目录较早","LLM生成调用感知/控制API的可执行程序","是（论文/演示）","有限","是","有限","否","API可扩展但需自写适配","高度重合","B","高","中高","开放notebook与仿真示例，不是完整真机部署栈"
"CaP-X / CaP-Gym / CaP-Agent0","2026","CaP-Gym作者团队","https://arxiv.org/abs/2603.22435","https://capgym.github.io/","https://github.com/capgym/cap-x","MIT","2026-05-28；v0.0.1 2026-04-01；约7 commits","多轮视觉差分、代码策略、自动技能库、跨基准评测","有真机bring-up说明","是","是","是","是","可加环境/API；依赖重","完全/高度重合","A","极高","高","最值得隔离运行的研究基线；多仿真器版本冲突、SAM3/OpenRouter等依赖"
"RHO / Repositories-as-Policies","2026","UC Berkeley等","https://arxiv.org/abs/2606.16458","https://rho-robotics.github.io/","https://github.com/KE7/HELIX","BSD-3-Clause","2026-07-25；约205 commits","Coding Agent离线搜索多文件神经符号策略仓库，部署单轮执行","论文含机器人基准；HELIX是通用优化器","依任务环境","是","训练/搜索阶段有","反思与仓库历史","能适配代码库，非现成机器人适配","高度重合（自动改策略）","B","极高","高","HELIX可用于离线仓库搜索实验，不能直接接SDK真机"
"ProgPrompt","2022","NVIDIA / Caltech等","https://arxiv.org/abs/2209.11302","https://progprompt.github.io/","https://github.com/NVlabs/progprompt-vh","NVIDIA非商业研究/评估许可","2023-06-23；约1 commit","用Python式提示、示例、assertion和恢复生成任务计划","论文有简单真机演示；代码仅VirtualHome","弱","是","有提示式恢复","否","代码不支持新机器人","高度重合（Prompt/前置条件）","C","高","高","可借提示设计；许可证和代码范围不适合作母体"
"SayCan","2022","Google Robotics / Everyday Robots","https://arxiv.org/abs/2204.01691","https://say-can.github.io/","https://github.com/google-research/google-research/tree/master/saycan","Apache-2.0（开放仿真部分）","较早；真实移动操控代码未开放","语言概率乘技能affordance选择预训练技能","是（论文）","有限","是","有限","否","需要自建技能/价值函数","高度重合（Skill选择）","C","高","中高","官方开放为模拟tabletop；不能直接复用真实机器人系统"
"Inner Monologue","2022","Google Robotics等","https://arxiv.org/abs/2207.05608","https://innermonologue.github.io/","未确认开放","未确认","项目页可用；未确认官方代码","把成功检测、对象/场景描述和人反馈持续回灌LLM","是","是","是","是","上下文式","未确认","高度重合（闭环反馈）","C","高","高","理论/实验依据，不是可下载母框架"
"VoxPoser","2023","Stanford / Princeton等","https://arxiv.org/abs/2307.05973","https://voxposer.github.io/","https://github.com/huangwl18/VoxPoser","MIT","2025-02-20；open issues+PRs约33","VLM/LLM生成3D价值图并用运动规划执行","是","是","隐式能力/API","可重算价值图","否","需感知与规划适配","部分/高度重合","B","中高","高","可借空间约束与value map思路；不是Skill Supervisor"
"ReKep","2024","Stanford等","https://arxiv.org/abs/2409.01652","https://rekep-robot.github.io/","https://github.com/huangwl18/ReKep","未发现LICENSE","2025-02-20；open issues+PRs约37","VLM生成关系关键点约束，分阶段优化轨迹","论文含真机","是","阶段式","是","否","官方仓库主要OmniGibson demo","部分重合","C","中","很高","无明确License且开放内容偏仿真，不复制到项目"
"DoReMi","2023","Google DeepMind等","https://arxiv.org/abs/2307.00329","https://sites.google.com/view/doremi-paper","未确认开放","未确认","项目页/论文可用","LLM规划自然语言约束，VQA周期检查低层Skill并重规划","是","是","是","是","否","未确认","高度重合（持续约束/重规划）","C","高","高","重要方法基线；无确认官方代码"
"REFLECT","2023","Stanford","https://arxiv.org/abs/2306.15724","https://robot-reflect.github.io/","https://github.com/real-stanford/reflect","MIT","2024-03-12；open issues+PRs 0","多模态经验摘要、失败解释与语言纠错","是","是","是","是","是","需重写硬件层","部分/高度重合","B","高","中高","可抽取trace/失败摘要结构；不是通用执行器"
